round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Eredivisie,10,Fri,2021-10-22,20:00,Willem II,1.7,1–1,1.3,Fortuna Sittard,14057,Koning Willem II Stadion,Jannick van der Laan,Match Report,
Eredivisie,10,Sat,2021-10-23,18:45,Utrecht,2.7,2–1,1.1,Heerenveen,21875,Stadion Galgenwaard,Jochem Kamphuis,Match Report,
Eredivisie,10,Sat,2021-10-23,20:00,Zwolle,1.6,1–0,1.4,Heracles Almelo,13026,MAC³PARK Stadion,Marc Nagtegaal,Match Report,
Eredivisie,10,Sat,2021-10-23,21:00,RKC Waalwijk,1.4,1–0,0.8,Sparta R'dam,5304,Mandemakers Stadion,Jeroen Manschot,Match Report,
Eredivisie,10,Sun,2021-10-24,12:15,Twente,1.3,1–2,1.2,NEC Nijmegen,26000,De Grolsch Veste,Kevin Blom,Match Report,
Eredivisie,10,Sun,2021-10-24,14:30,Vitesse,1.5,1–2,1.9,Go Ahead Eag,12783,GelreDome,Dennis Higler,Match Report,
Eredivisie,10,Sun,2021-10-24,14:30,Cambuur,1.0,2–3,1.8,Feyenoord,10000,Cambuurstadion,Bas Nijhuis,Match Report,
Eredivisie,10,Sun,2021-10-24,16:45,Ajax,2.3,5–0,0.9,PSV Eindhoven,53585,Johan Cruyff ArenA,Serdar Gözübüyük,Match Report,
Eredivisie,10,Sun,2021-10-24,20:00,Groningen,0.6,2–0,1.7,AZ Alkmaar,11300,Hitachi Capital Mobility Stadion,Danny Makkelie,Match Report,
Eredivisie,11,Sat,2021-10-30,16:30,PSV Eindhoven,3.6,5–2,0.9,Twente,32500,Philips Stadion,Danny Makkelie,Match Report,
Eredivisie,11,Sat,2021-10-30,18:45,Heracles Almelo,0.7,0–0,1.8,Ajax,12080,Erve Asito,Jeroen Manschot,Match Report,
Eredivisie,11,Sat,2021-10-30,20:00,Heerenveen,0.6,1–2,2.3,Vitesse,17187,Abe Lenstra Stadion,Martin van den Kerkhof,Match Report,
Eredivisie,11,Sat,2021-10-30,21:00,AZ Alkmaar,1.2,3–2,0.8,Zwolle,15328,AFAS Stadion,Serdar Gözübüyük,Match Report,
Eredivisie,11,Sun,2021-10-31,12:15,Sparta R'dam,0.3,0–1,1.3,Feyenoord,10599,Sparta-Stadion Het Kasteel,Kevin Blom,Match Report,
Eredivisie,11,Sun,2021-10-31,14:30,NEC Nijmegen,2.9,3–0,0.8,Groningen,,Goffertstadion,Ingmar Oostrom,Match Report,
Eredivisie,11,Sun,2021-10-31,16:45,Utrecht,1.7,5–1,1.2,Willem II,20469,Stadion Galgenwaard,Pol van Boekel,Match Report,
Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Eredivisie,11,Sun,2021-10-31,16:45,RKC Waalwijk,1.7,0–1,2.0,Cambuur,4754,Mandemakers Stadion,Edwin van de Graaf,Match Report,
Eredivisie,11,Sun,2021-10-31,20:00,Go Ahead Eag,2.2,4–3,0.7,Fortuna Sittard,8807,De Adelaarshorst,Alex Bos,Match Report,
Eredivisie,12,Fri,2021-11-05,20:00,Twente,1.8,1–0,0.5,Heracles Almelo,30000,De Grolsch Veste,Dennis Higler,Match Report,
Eredivisie,12,Sat,2021-11-06,18:45,NEC Nijmegen,2.1,1–1,1.7,Heerenveen,,Goffertstadion,Bas Nijhuis,Match Report,
Eredivisie,12,Sat,2021-11-06,20:00,Willem II,0.6,0–3,0.9,Sparta R'dam,13028,Koning Willem II Stadion,Joey Kooij,Match Report,
Eredivisie,12,Sat,2021-11-06,21:00,Zwolle,1.3,1–2,0.7,Cambuur,13098,MAC³PARK Stadion,Sander Van der Eijk,Match Report,
Eredivisie,12,Sun,2021-11-07,12:15,Groningen,1.2,1–1,0.5,RKC Waalwijk,20313,Hitachi Capital Mobility Stadion,Kevin Blom,Match Report,
Eredivisie,12,Sun,2021-11-07,14:30,Fortuna Sittard,0.5,1–4,2.6,PSV Eindhoven,9527,Fortuna Sittard Stadion,Pol van Boekel,Match Report,
Eredivisie,12,Sun,2021-11-07,16:45,Feyenoord,1.6,1–0,1.0,AZ Alkmaar,47500,Stadion Feijenoord,Allard Lindhout,Match Report,
Eredivisie,12,Sun,2021-11-07,16:45,Vitesse,2.2,2–1,0.5,Utrecht,15867,GelreDome,Danny Makkelie,Match Report,
Eredivisie,12,Sun,2021-11-07,20:00,Ajax,2.8,0–0,0.1,Go Ahead Eag,53497,Johan Cruyff ArenA,Rob Dieperink,Match Report,
Eredivisie,13,Sat,2021-11-20,16:30,PSV Eindhoven,0.8,2–0,0.8,Vitesse,,Philips Stadion,Bas Nijhuis,Match Report,
Eredivisie,13,Sat,2021-11-20,18:45,Sparta R'dam,0.7,0–1,1.3,Twente,,Sparta-Stadion Het Kasteel,Edwin van de Graaf,Match Report,
Eredivisie,13,Sat,2021-11-20,20:00,AZ Alkmaar,1.9,1–1,0.7,NEC Nijmegen,,AFAS Stadion,Jeroen Manschot,Match Report,
Eredivisie,13,Sat,2021-11-20,21:00,Heracles Almelo,1.9,3–1,1.4,Fortuna Sittard,,Erve Asito,Danny Makkelie,Match Report,
Eredivisie,13,Sun,2021-11-21,12:15,Go Ahead Eag,0.8,0–1,1.8,Groningen,,De Adelaarshorst,Sander Van der Eijk,Match Report,
Eredivisie,13,Sun,2021-11-21,14:30,Heerenveen,1.8,2–1,2.3,Willem II,,Abe Lenstra Stadion,Serdar Gözübüyük,Match Report,
Eredivisie,13,Sun,2021-11-21,14:30,Feyenoord,3.0,4–0,0.3,Zwolle,,Stadion Feijenoord,Martin van den Kerkhof,Match Report,
Eredivisie,13,Sun,2021-11-21,16:45,RKC Waalwijk,0.9,0–5,3.9,Ajax,,Mandemakers Stadion,Allard Lindhout,Match Report,
Eredivisie,13,Sun,2021-11-21,20:00,Cambuur,1.7,2–1,1.3,Utrecht,,Cambuurstadion,Dennis Higler,Match Report,
Eredivisie,14,Fri,2021-11-26,20:00,NEC Nijmegen,1.9,2–3,1.8,Cambuur,,Goffertstadion,Rob Dieperink,Match Report,
Eredivisie,14,Sat,2021-11-27,18:45,Fortuna Sittard,1.1,1–4,1.8,Groningen,,Fortuna Sittard Stadion,Jeroen Manschot,Match Report,
Eredivisie,14,Sat,2021-11-27,20:00,Zwolle,1.7,0–0,0.3,RKC Waalwijk,,MAC³PARK Stadion,Joey Kooij,Match Report,
Eredivisie,14,Sat,2021-11-27,21:00,Willem II,1.0,0–1,0.3,Go Ahead Eag,,Koning Willem II Stadion,Laurens Gerrets,Match Report,
Eredivisie,14,Sun,2021-11-28,12:15,Sparta R'dam,0.2,0–1,1.8,Ajax,,Sparta-Stadion Het Kasteel,Jochem Kamphuis,Match Report,
Eredivisie,14,Sun,2021-11-28,14:30,Utrecht,2.6,1–0,0.5,Heracles Almelo,,Stadion Galgenwaard,Martin van den Kerkhof,Match Report,
Eredivisie,14,Sun,2021-11-28,14:30,Twente,0.3,0–0,1.5,Feyenoord,,De Grolsch Veste,Serdar Gözübüyük,Match Report,
Eredivisie,14,Sun,2021-11-28,16:45,Heerenveen,1.0,1–1,1.5,PSV Eindhoven,,Abe Lenstra Stadion,Allard Lindhout,Match Report,
Eredivisie,14,Sun,2021-11-28,20:00,Vitesse,0.9,0–0,1.2,AZ Alkmaar,,GelreDome,Danny Makkelie,Match Report,
Eredivisie,4,Wed,2021-12-01,20:00,Feyenoord,2.3,2–1,0.9,Heracles Almelo,,Stadion Feijenoord,Bas Nijhuis,Match Report,
Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Eredivisie,2,Thu,2021-12-02,18:45,AZ Alkmaar,1.4,2–1,1.1,Fortuna Sittard,,AFAS Stadion,Dennis Higler,Match Report,
Eredivisie,15,Thu,2021-12-02,21:00,Ajax,2.9,5–0,0.1,Willem II,,Johan Cruyff ArenA,Edwin van de Graaf,Match Report,
Eredivisie,15,Fri,2021-12-03,20:00,Groningen,0.3,1–1,0.6,Zwolle,,Hitachi Capital Mobility Stadion,Richard Martens,Match Report,
Eredivisie,15,Sat,2021-12-04,16:30,PSV Eindhoven,1.5,4–1,1.2,Utrecht,,Philips Stadion,Danny Makkelie,Match Report,
Eredivisie,15,Sat,2021-12-04,18:45,Cambuur,1.1,1–6,2.8,Vitesse,,Cambuurstadion,Serdar Gözübüyük,Match Report,
Eredivisie,15,Sat,2021-12-04,21:00,Heracles Almelo,0.9,0–1,1.0,Heerenveen,,Erve Asito,Pol van Boekel,Match Report,
Eredivisie,15,Sun,2021-12-05,12:15,RKC Waalwijk,2.1,2–1,2.0,NEC Nijmegen,,Mandemakers Stadion,Dennis Higler,Match Report,
Eredivisie,15,Sun,2021-12-05,14:30,Go Ahead Eag,1.1,1–2,1.1,Twente,,De Adelaarshorst,Allard Lindhout,Match Report,
Eredivisie,15,Sun,2021-12-05,14:30,AZ Alkmaar,2.5,3–1,1.0,Sparta R'dam,,AFAS Stadion,Sander Van der Eijk,Match Report,
Eredivisie,15,Sun,2021-12-05,16:45,Feyenoord,3.6,5–0,0.4,Fortuna Sittard,,Stadion Feijenoord,Rob Dieperink,Match Report,
Eredivisie,16,Fri,2021-12-10,20:00,Willem II,0.8,1–3,2.0,Cambuur,,Koning Willem II Stadion,Martin van den Kerkhof,Match Report,
Eredivisie,16,Sat,2021-12-11,18:45,Utrecht,2.0,0–0,0.3,Go Ahead Eag,,Stadion Galgenwaard,Joey Kooij,Match Report,
Eredivisie,16,Sat,2021-12-11,20:00,Heerenveen,0.8,0–0,0.4,Sparta R'dam,,Abe Lenstra Stadion,Jannick van der Laan,Match Report,
Eredivisie,16,Sat,2021-12-11,21:00,Zwolle,0.9,0–1,1.8,Fortuna Sittard,,MAC³PARK Stadion,Edwin van de Graaf,Match Report,
Eredivisie,16,Sun,2021-12-12,12:15,Twente,2.9,2–1,0.6,RKC Waalwijk,,De Grolsch Veste,Pol van Boekel,Match Report,
Eredivisie,16,Sun,2021-12-12,14:30,Vitesse,1.4,2–1,0.7,Heracles Almelo,,GelreDome,Jeroen Manschot,Match Report,
Eredivisie,16,Sun,2021-12-12,14:30,Groningen,0.7,1–1,2.0,Feyenoord,,Hitachi Capital Mobility Stadion,Danny Makkelie,Match Report,
Eredivisie,16,Sun,2021-12-12,16:45,Ajax,3.6,1–2,1.3,AZ Alkmaar,,Johan Cruyff ArenA,Bas Nijhuis,Match Report,
Eredivisie,16,Sun,2021-12-12,20:00,NEC Nijmegen,1.1,1–2,3.9,PSV Eindhoven,,Goffertstadion,Serdar Gözübüyük,Match Report,
Eredivisie,17,Sat,2021-12-18,16:30,Fortuna Sittard,0.8,2–2,2.9,Utrecht,,Fortuna Sittard Stadion,Martin Perez,Match Report,
Eredivisie,17,Sat,2021-12-18,18:45,Sparta R'dam,1.5,2–2,0.4,Vitesse,,Sparta-Stadion Het Kasteel,Bas Nijhuis,Match Report,
Eredivisie,17,Sat,2021-12-18,20:00,Heracles Almelo,2.3,4–2,0.5,Groningen,,Erve Asito,Serdar Gözübüyük,Match Report,
Eredivisie,17,Sat,2021-12-18,20:00,AZ Alkmaar,2.3,4–1,1.9,Willem II,,AFAS Stadion,Allard Lindhout,Match Report,
Eredivisie,17,Sat,2021-12-18,21:00,Zwolle,0.9,1–3,1.4,Twente,,MAC³PARK Stadion,Alex Bos,Match Report,
Eredivisie,17,Sun,2021-12-19,12:15,Cambuur,0.9,1–2,3.2,Heerenveen,,Cambuurstadion,Danny Makkelie,Match Report,
Eredivisie,17,Sun,2021-12-19,14:30,Feyenoord,1.0,0–2,1.0,Ajax,,Stadion Feijenoord,Dennis Higler,Match Report,
Eredivisie,17,Sun,2021-12-19,14:30,Go Ahead Eag,1.6,0–2,1.5,NEC Nijmegen,,De Adelaarshorst,Erwin Blank,Match Report,
Eredivisie,17,Sun,2021-12-19,16:45,RKC Waalwijk,0.5,1–4,3.0,PSV Eindhoven,,Mandemakers Stadion,Jeroen Manschot,Match Report,
Eredivisie,18,Tue,2021-12-21,18:45,Vitesse,2.5,1–0,1.1,Zwolle,,GelreDome,Pol van Boekel,Match Report,
Eredivisie,18,Tue,2021-12-21,21:00,AZ Alkmaar,0.9,1–0,0.9,Groningen,,AFAS Stadion,Martin van den Kerkhof,Match Report,
Eredivisie,18,Wed,2021-12-22,18:45,Heerenveen,0.6,0–3,2.6,Feyenoord,,Abe Lenstra Stadion,Jeroen Manschot,Match Report,
Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Eredivisie,18,Wed,2021-12-22,18:45,Willem II,0.5,0–1,1.4,NEC Nijmegen,,Koning Willem II Stadion,Danny Makkelie,Match Report,
Eredivisie,18,Wed,2021-12-22,20:00,Heracles Almelo,3.2,1–1,0.5,Cambuur,,Erve Asito,Allard Lindhout,Match Report,
Eredivisie,18,Wed,2021-12-22,21:00,Ajax,3.4,5–0,0.4,Fortuna Sittard,,Johan Cruyff ArenA,Marc Nagtegaal,Match Report,
Eredivisie,18,Wed,2021-12-22,21:00,Utrecht,1.3,1–1,0.7,Twente,,Stadion Galgenwaard,Richard Martens,Match Report,
Eredivisie,18,Thu,2021-12-23,18:45,PSV Eindhoven,2.7,2–0,0.2,Go Ahead Eag,,Philips Stadion,Dennis Higler,Match Report,
Eredivisie,18,Thu,2021-12-23,21:00,Sparta R'dam,1.5,1–1,0.5,RKC Waalwijk,,Sparta-Stadion Het Kasteel,Edwin van de Graaf,Match Report,
Eredivisie,19,Fri,2022-01-14,20:00,Zwolle,1.8,2–0,0.6,Willem II,,MAC³PARK Stadion,Jeroen Manschot,Match Report,
Eredivisie,19,Sat,2022-01-15,18:45,NEC Nijmegen,1.1,0–0,0.7,Heracles Almelo,,Goffertstadion,Joey Kooij,Match Report,
Eredivisie,19,Sat,2022-01-15,20:00,Feyenoord,1.0,0–1,1.6,Vitesse,,Stadion Feijenoord,Allard Lindhout,Match Report,
Eredivisie,19,Sat,2022-01-15,20:00,Twente,2.3,2–0,1.0,Heerenveen,,De Grolsch Veste,Pol van Boekel,Match Report,
Eredivisie,19,Sat,2022-01-15,21:00,Go Ahead Eag,0.8,0–2,1.1,RKC Waalwijk,,De Adelaarshorst,Sander Van der Eijk,Match Report,
Eredivisie,19,Sun,2022-01-16,12:15,Utrecht,0.9,0–3,1.6,Ajax,,Stadion Galgenwaard,Serdar Gözübüyük,Match Report,
Eredivisie,19,Sun,2022-01-16,14:30,Groningen,0.4,0–1,1.4,PSV Eindhoven,,Hitachi Capital Mobility Stadion,Bas Nijhuis,Match Report,
Eredivisie,19,Sun,2022-01-16,14:30,Cambuur,1.0,1–1,1.0,Sparta R'dam,,Cambuurstadion,Dennis Higler,Match Report,
Eredivisie,19,Sun,2022-01-16,16:45,Fortuna Sittard,1.5,1–2,1.7,AZ Alkmaar,,Fortuna Sittard Stadion,Rob Dieperink,Match Report,
Eredivisie,20,Sat,2022-01-22,18:45,Vitesse,0.6,1–3,2.1,Groningen,,GelreDome,Dennis Higler,Match Report,
Eredivisie,20,Sat,2022-01-22,20:00,Heerenveen,1.4,0–1,1.5,Zwolle,,Abe Lenstra Stadion,Martin van den Kerkhof,Match Report,
Eredivisie,20,Sat,2022-01-22,20:00,AZ Alkmaar,1.9,0–0,0.3,Cambuur,,AFAS Stadion,Bas Nijhuis,Match Report,
Eredivisie,20,Sat,2022-01-22,21:00,Willem II,0.4,0–1,0.9,Twente,,Koning Willem II Stadion,Edwin van de Graaf,Match Report,
Eredivisie,20,Sun,2022-01-23,12:15,NEC Nijmegen,0.4,1–4,4.3,Feyenoord,,Goffertstadion,Pol van Boekel,Match Report,
Eredivisie,20,Sun,2022-01-23,14:30,PSV Eindhoven,1.3,1–2,1.8,Ajax,,Philips Stadion,Danny Makkelie,Match Report,
Eredivisie,20,Sun,2022-01-23,14:30,Heracles Almelo,2.1,1–1,1.7,Go Ahead Eag,,Erve Asito,Jannick van der Laan,Match Report,
Eredivisie,20,Sun,2022-01-23,16:45,Sparta R'dam,0.6,0–3,2.6,Utrecht,,Sparta-Stadion Het Kasteel,Erwin Blank,Match Report,
Eredivisie,20,Sun,2022-01-23,20:00,RKC Waalwijk,1.9,2–1,1.5,Fortuna Sittard,,Mandemakers Stadion,Serdar Gözübüyük,Match Report,
Eredivisie,21,Sat,2022-02-05,16:30,Utrecht,1.5,3–2,1.8,Cambuur,8000,Stadion Galgenwaard,Edwin van de Graaf,Match Report,
Eredivisie,21,Sat,2022-02-05,18:45,Fortuna Sittard,1.1,2–0,1.2,Heerenveen,4200,Fortuna Sittard Stadion,Joey Kooij,Match Report,
Eredivisie,21,Sat,2022-02-05,20:00,PSV Eindhoven,1.4,1–2,1.7,AZ Alkmaar,12000,Philips Stadion,Allard Lindhout,Match Report,
Eredivisie,21,Sat,2022-02-05,20:00,Zwolle,1.6,1–1,1.2,NEC Nijmegen,4500,MAC³PARK Stadion,Jannick van der Laan,Match Report,
Eredivisie,21,Sat,2022-02-05,21:00,Twente,2.7,3–0,0.4,Vitesse,,De Grolsch Veste,Danny Makkelie,Match Report,
Eredivisie,21,Sun,2022-02-06,12:15,Feyenoord,2.7,4–0,0.6,Sparta R'dam,17039,Stadion Feijenoord,Serdar Gözübüyük,Match Report,
Eredivisie,21,Sun,2022-02-06,14:30,Willem II,1.1,3–1,1.1,RKC Waalwijk,4686,Koning Willem II Stadion,Bas Nijhuis,Match Report,
Eredivisie,21,Sun,2022-02-06,14:30,Groningen,2.5,2–1,1.1,Go Ahead Eag,6900,Hitachi Capital Mobility Stadion,Alex Bos,Match Report,
Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Eredivisie,21,Sun,2022-02-06,16:45,Ajax,3.6,3–0,0.2,Heracles Almelo,15750,Johan Cruyff ArenA,Jeroen Manschot,Match Report,
Eredivisie,22,Fri,2022-02-11,20:00,Heracles Almelo,1.6,1–0,1.6,Utrecht,4058,Erve Asito,Rob Dieperink,Match Report,
Eredivisie,22,Sat,2022-02-12,18:45,Groningen,1.8,0–1,0.8,Fortuna Sittard,7200,Hitachi Capital Mobility Stadion,Edwin van de Graaf,Match Report,
Eredivisie,22,Sat,2022-02-12,18:45,Cambuur,1.6,3–4,2.4,Zwolle,3300,Cambuurstadion,Ingmar Oostrom,Match Report,
Eredivisie,22,Sat,2022-02-12,20:00,Vitesse,1.2,0–5,4.5,PSV Eindhoven,9177,GelreDome,Serdar Gözübüyük,Match Report,
Eredivisie,22,Sun,2022-02-13,12:15,Go Ahead Eag,1.2,1–4,3.4,AZ Alkmaar,3746,De Adelaarshorst,Marc Nagtegaal,Match Report,
Eredivisie,22,Sun,2022-02-13,12:15,Sparta R'dam,1.2,1–0,0.6,Willem II,3500,Sparta-Stadion Het Kasteel,Danny Makkelie,Match Report,
Eredivisie,22,Sun,2022-02-13,14:30,Heerenveen,1.4,0–1,0.5,NEC Nijmegen,8321,Abe Lenstra Stadion,Richard Martens,Match Report,
Eredivisie,22,Sun,2022-02-13,14:30,RKC Waalwijk,0.9,0–2,1.4,Feyenoord,2126,Mandemakers Stadion,Jeroen Manschot,Match Report,
Eredivisie,22,Sun,2022-02-13,16:45,Ajax,4.8,5–0,0.5,Twente,17859,Johan Cruyff ArenA,Allard Lindhout,Match Report,
Eredivisie,23,Sat,2022-02-19,16:30,NEC Nijmegen,1.7,1–1,1.3,RKC Waalwijk,11802,Goffertstadion,Erwin Blank,Match Report,
Eredivisie,23,Sat,2022-02-19,18:45,Willem II,0.6,0–1,2.4,Ajax,14412,Koning Willem II Stadion,Pol van Boekel,Match Report,
Eredivisie,23,Sat,2022-02-19,21:00,AZ Alkmaar,1.7,2–1,0.3,Heracles Almelo,13616,AFAS Stadion,Ingmar Oostrom,Match Report,
Eredivisie,23,Sun,2022-02-20,12:15,Zwolle,0.9,1–1,1.4,Groningen,13620,MAC³PARK Stadion,Jeroen Manschot,Match Report,
Eredivisie,23,Sun,2022-02-20,14:30,Twente,1.9,2–2,0.6,Go Ahead Eag,26100,De Grolsch Veste,Martin van den Kerkhof,Match Report,
Eredivisie,23,Sun,2022-02-20,14:30,Feyenoord,2.5,3–1,0.4,Cambuur,44779,Stadion Feijenoord,Jochem Kamphuis,Match Report,
Eredivisie,23,Sun,2022-02-20,16:45,PSV Eindhoven,1.8,3–1,1.6,Heerenveen,35000,Philips Stadion,Dennis Higler,Match Report,
Eredivisie,23,Sun,2022-02-20,16:45,Utrecht,2.6,1–1,0.8,Vitesse,16886,Stadion Galgenwaard,Allard Lindhout,Match Report,
Eredivisie,24,Fri,2022-02-25,20:00,RKC Waalwijk,1.0,1–2,3.1,Twente,5364,Mandemakers Stadion,Martin Perez,Match Report,
Eredivisie,24,Sat,2022-02-26,16:30,Heracles Almelo,2.1,2–0,1.1,Zwolle,6788,Erve Asito,Allard Lindhout,Match Report,
Eredivisie,24,Sat,2022-02-26,18:45,Groningen,1.7,1–0,1.0,Willem II,17977,Hitachi Capital Mobility Stadion,Martin van den Kerkhof,Match Report,
Eredivisie,24,Sat,2022-02-26,21:00,Cambuur,1.7,2–1,1.0,Fortuna Sittard,9780,Cambuurstadion,Jannick van der Laan,Match Report,
Eredivisie,24,Sun,2022-02-27,12:15,Vitesse,2.3,4–1,1.1,NEC Nijmegen,13877,GelreDome,Danny Makkelie,Match Report,
Eredivisie,24,Sun,2022-02-27,12:15,AZ Alkmaar,2.0,2–1,1.5,Feyenoord,16241,AFAS Stadion,Dennis Higler,Match Report,
Eredivisie,24,Sun,2022-02-27,14:30,Sparta R'dam,0.8,1–2,2.3,PSV Eindhoven,10020,Sparta-Stadion Het Kasteel,Jeroen Manschot,Match Report,
Eredivisie,24,Sun,2022-02-27,16:45,Go Ahead Eag,1.0,2–1,1.9,Ajax,9200,De Adelaarshorst,Jochem Kamphuis,Match Report,
Eredivisie,24,Sun,2022-02-27,20:00,Heerenveen,1.3,1–2,1.2,Utrecht,19200,Abe Lenstra Stadion,Serdar Gözübüyük,Match Report,
Eredivisie,25,Sat,2022-03-05,16:30,Willem II,0.8,0–0,1.4,Heerenveen,13082,Koning Willem II Stadion,Jochem Kamphuis,Match Report,
Eredivisie,25,Sat,2022-03-05,18:45,Go Ahead Eag,0.8,1–1,2.4,Utrecht,9924,De Adelaarshorst,Danny Makkelie,Match Report,
Eredivisie,25,Sat,2022-03-05,21:00,Feyenoord,2.5,1–1,0.8,Groningen,45395,Stadion Feijenoord,Pol van Boekel,Match Report,
Eredivisie,25,Sun,2022-03-06,12:15,PSV Eindhoven,3.0,3–1,0.4,Heracles Almelo,33247,Philips Stadion,Edwin van de Graaf,Match Report,
Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Eredivisie,25,Sun,2022-03-06,14:30,Twente,3.3,1–0,0.4,Cambuur,26800,De Grolsch Veste,Sander Van der Eijk,Match Report,
Eredivisie,25,Sun,2022-03-06,16:45,NEC Nijmegen,1.6,1–3,1.1,AZ Alkmaar,12000,Goffertstadion,Bas Nijhuis,Match Report,
Eredivisie,25,Sun,2022-03-06,16:45,Ajax,6.1,3–2,1.0,RKC Waalwijk,53467,Johan Cruyff ArenA,Dennis Higler,Match Report,
Eredivisie,25,Sun,2022-03-06,20:00,Fortuna Sittard,1.3,0–1,1.3,Zwolle,8279,Fortuna Sittard Stadion,Serdar Gözübüyük,Match Report,
Eredivisie,26,Fri,2022-03-11,20:00,Cambuur,1.6,2–3,3.3,Ajax,9822,Cambuurstadion,Allard Lindhout,Match Report,
Eredivisie,26,Sat,2022-03-12,16:30,Sparta R'dam,1.8,1–0,0.4,Go Ahead Eag,10011,Sparta-Stadion Het Kasteel,Richard Martens,Match Report,
Eredivisie,26,Sat,2022-03-12,18:45,Groningen,2.0,4–3,1.6,NEC Nijmegen,20600,Hitachi Capital Mobility Stadion,Sander van der Eijk,Match Report,
Eredivisie,26,Sat,2022-03-12,21:00,RKC Waalwijk,0.8,0–0,1.4,Heerenveen,4203,Mandemakers Stadion,Jeroen Manschot,Match Report,
Eredivisie,26,Sun,2022-03-13,12:15,Fortuna Sittard,1.7,1–0,1.6,Willem II,5812,Fortuna Sittard Stadion,Dennis Higler,Match Report,
Eredivisie,26,Sun,2022-03-13,14:30,Heracles Almelo,1.1,0–0,0.5,Vitesse,7035,Erve Asito,Jochem Kamphuis,Match Report,
Eredivisie,26,Sun,2022-03-13,14:30,Utrecht,0.4,0–1,2.3,PSV Eindhoven,22269,Stadion Galgenwaard,Bas Nijhuis,Match Report,
Eredivisie,26,Sun,2022-03-13,16:45,Zwolle,0.7,1–2,1.5,Feyenoord,14000,MAC³PARK Stadion,Martin van den Kerkhof,Match Report,
Eredivisie,26,Sun,2022-03-13,20:00,AZ Alkmaar,0.8,0–1,0.5,Twente,15349,AFAS Stadion,Pol van Boekel,Match Report,
Eredivisie,27,Fri,2022-03-18,20:00,Heerenveen,1.7,2–0,0.5,Heracles Almelo,17980,Abe Lenstra Stadion,Alex Bos,Match Report,
Eredivisie,27,Sat,2022-03-19,18:45,Go Ahead Eag,1.9,3–0,0.0,Cambuur,9631,De Adelaarshorst,Serdar Gözübüyük,Match Report,
Eredivisie,27,Sat,2022-03-19,20:00,Twente,1.9,1–0,0.8,Zwolle,28000,De Grolsch Veste,Edwin van de Graaf,Match Report,
Eredivisie,27,Sat,2022-03-19,21:00,NEC Nijmegen,1.2,0–0,0.2,Sparta R'dam,12000,Goffertstadion,Jochem Kamphuis,Match Report,
Eredivisie,27,Sun,2022-03-20,12:15,Utrecht,1.5,1–3,1.6,Groningen,21221,Stadion Galgenwaard,Dennis Higler,Match Report,
Eredivisie,27,Sun,2022-03-20,14:30,Ajax,2.2,3–2,1.6,Feyenoord,,Johan Cruyff ArenA,Danny Makkelie,Match Report,
Eredivisie,27,Sun,2022-03-20,16:45,PSV Eindhoven,4.0,5–0,0.2,Fortuna Sittard,33491,Philips Stadion,Allard Lindhout,Match Report,
